Channel Name,Channel ID,Category
Bethel Music,UCbertc-gMbkkHuSmg0qwnxw,음악/댄스
BT21,UCINr5W7cwW06ADtsszAToAw,영화/애니메이션
Kritter Klub,UC6zbH1Z4G32bBV9wyK6ikPA,엔터테인먼트
매일맛나 delicious day,UCFiYPUhUzLKoi-cZ0AwpjLA,푸드/쿠킹
Pororo the Little Penguin,UCAmia3u27mHY-Y6c-lwakAQ,영화/애니메이션
행복지수 103%,UCRE-097LGtx_Zo7LrHvkycA,인물/유명인
ABBA,UCYPs4y5esNqx6ax1CxZws6Q,정부/기관/비영리
CoCosToy 꼬꼬스토이,UCfVd4ZgG0hwe3F0cqRTvUWQ,키즈
MBCdrama,UC7lb15P-Hux7A5gBuhCxtuQ,엔터테인먼트
떵개떵,UC-i2ywiuvjvpTy2zW-tXfkw,푸드/쿠킹
딩고 뮤직 / dingo music,UCtCiO5t2voB14CmZKTkIzPQ,음악/댄스
Cooking tree 쿠킹트리,UCtby6rJtBGgUm-2oD_E7bzw,푸드/쿠킹
DONA English,UC7jo3cJYMDXbEbHUNw2h7aA,키즈
[Awesome Haeun]어썸하은,UCcpAtOvcne_cX7gvarTgKsQ,음악/댄스
JaeYeol ASMR 재열,UCg7xkCKcxA84xSTGgtF9ySA,취미
tvN D ENT,UCsRIHt5FkbGc6cQtCxt-ufA,엔터테인먼트
DONA JP [ドナ日本語],UC6dk7FfH74QAmSFzxjpCLtA,키즈
"까니짱 [ KANI, 蟹ちゃん]",UC2wZJuuD_WA9ps2FORco1EQ,푸드/쿠킹
스마일밤 Smile Bam,UCKo9E6a6-E40CC6OdSbvcdA,뷰티/패션
식탁일기 table diary,UCemFUqq5jad1f258HrPS5rg,푸드/쿠킹
Audio Library — Music for content creators,UCht8qITGkBvXKsR1Byln-wA,IT/기술/과학
SBS TV동물농장x애니멀봐,UC22go5LdQEw-iDuxFb4C0hw,동물/펫
ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,IT/기술/과학
푸드킹덤 Food Kingdom,UC4BfinFCS1o6t1tAsl0RVWQ,푸드/쿠킹
JTBC Drama,UCkbJc8jMcTXwhtmN5VMwfXg,엔터테인먼트
봉길이 Bonggil,UCHQnFdxn3kqIzx4yLENS-Iw,푸드/쿠킹
MiniforceTV,UCmElsfgN0WY4ycwKHKWbTyg,영화/애니메이션
MBCNEWS,UCF4Wxdo3inmxP-Y59wXDsFw,뉴스/정치/이슈
ToyMart TV,UCbWPYsyJX1-7uvfOw3LkLqw,키즈
YTN,UChlgI3UHCOnwUGzWzbJ3H5w,뉴스/정치/이슈
여행 대통령ㅡ최박사,UCmEWR6oh5y_iGNh3tOBYhqw,여행/아웃도어
SBS 뉴스,UCkinYTS9IHqOEwR1Sze2JTw,뉴스/정치/이슈
키즈팡TV,UCK2GFjc2PnRViSHRObX5nKA,키즈
보경 Bokyoung,UCALl6UrYtJndCXo2p6hANPQ,푸드/쿠킹
Raon,UCQn1FqrR2OCjSe6Nl4GlVHw,음악/댄스
芒果TV青春剧场 MangoTV Drama,UCTulSfEm1c14WWRbSN-CNAQ,음악/댄스
EBSDocumentary (EBS 다큐),UCFCtZJTuJhE18k8IXwmXTYQ,IT/기술/과학
Toica Nation,UCSurcJiD_l3lnV8RsnQTmVQ,키즈
옐언니,UCpPXYy0WNbwDZ0npS414sEQ,라이프스타일
JTBC Voyage,UCF3UEVPt5zZTlBVJwDG317g,엔터테인먼트
채널 NCT DAILY,UCG-coSVp89xFSWN4pbVL53w,음악/댄스
하루한끼 one meal a day,UCPWFxcwPliEBMwJjmeFIDIg,푸드/쿠킹
tvN,UC78PMQprrZTbU0IlMDsYZPw,엔터테인먼트
the bootleg boy,UC0fiLCwTmAukotCXYnqfj0A,엔터테인먼트
허팝Heopop,UCk6bX-MZXdte_7kG8TbMkqg,라이프스타일
슈슈토이 ShushuToysReview,UC8vwuAB2iTT-lN_WOrjaSyw,인물/유명인
JOLLY,UCOgGAfSUy5LvEyVS_LF5kdw,엔터테인먼트
MinipangTV,UC0WpBLqS4o_cRdMv6yBcT9g,키즈
HJ Evelyn,UCSGoIq_tVESqNYF1Re-zn1Q,인물/유명인
Jessi,UCN2bQLTTvNPZWCWU5TYghKA,인물/유명인
워크맨-Workman,UCwx6n_4OcLgzAGdty0RWCoA,엔터테인먼트
[Dorothy]도로시,UCWUwriihuQ_ybNrAOqbg3yg,푸드/쿠킹
Pro Gaming Studio,UCG67Fgo8Sxm4G4TMIFjXhjQ,음악/댄스
KBS Drama,UChpjIaEgwtDZtmWEkzFulSA,엔터테인먼트
Music for Body and Spirit - Meditation Music,UCfVJ_-zdASq6HR-ocI8yTww,음악/댄스
ATEEZ,UC2e4Ukj5Pfr7cb3KpJAFBdQ,음악/댄스
깨비키즈 [KEBIKIDS],UCD_-N4vf-tsqbUxrQ4CrJIA,키즈
TV-People,UC1cWTErb7vw_UmmuB0dYgsQ,엔터테인먼트
헤이지니 Hey Jini,UCdet8uJfTFlACtY05BQmJ1Q,키즈
WINNER,UCayQxFAoFCvGariuQCtHRGQ,음악/댄스
Jimmy ASMR,UCukMSPQL4dQBlbeBXar4J3w,푸드/쿠킹
로미유 스토리 Romiyu Story,UCLB6-ZZk3ShmiqW7rQxkCNw,키즈
MKIceAndFire,UC1bwliGvJogr7cWK0nT2Eag,음악/댄스
제이제이 튜브 [JJ Tube],UCjcjjOUxGWhGgrHM7kpTjyw,키즈
옛드 : MBC 옛날 드라마,UCG5bAssl2H0wjLG4BEv5ScQ,엔터테인먼트
차린건 쥐뿔도 없지만,UChdqwmHLPoL3UJmm9Fw-LsA,엔터테인먼트
Chihun ASMR 치훈,UCx_7Isnu10jfrlV7m1Fz06A,푸드/쿠킹
YoYo English Channel,UC3UUwfyntghfisq02q5v2tw,음악/댄스
Tang & Nami [탕이와나미상],UCM9wDwBSOAqEfFJOrbX97aw,키즈
Backhoe TV,UCiRw9xGyL2b6lYfWR1ASIaA,키즈
교광TV,UCwsFLjczPWiiWBS9_cdSQIQ,푸드/쿠킹
IVE,UC-Fnix71vRP64WXeo0ikd0Q,음악/댄스
JTBC News,UCsU-I-vHLiaMfV_ceaYz5rQ,뉴스/정치/이슈
Lime Tube[라임튜브],UCxutPqfWSdYqaK8_tlc5PBA,키즈
디글 :Diggle,UCWYzc_p0GgfCepIWDHGFmEg,엔터테인먼트
Asian Boss,UC2-_WWPT_124iN6jiym4fOw,교육/강의
Alien Being,UCWrXqW4HrgGw10WUPm15S6Q,게임
Forbes Breaking News,UCg40OxZ1GYh3u3jBntB6DLg,뉴스/정치/이슈
스튜디오 그냥,UCmLiSrat4HW2k07ahKEJo4w,동물/펫
유니가치 YuniGachi,UCCm2KbqcqCiHNdt4xD_Gzhg,키즈
KARD,UC5OwlwvsVmf_lXHguB6OYFw,음악/댄스
사나고 Sanago,UCd4FmcWIVdWAy0-Q8OJBloQ,취미
EVANS,UCUI8XDywSfFSYBLqNS79QKQ,키즈
imlisarhee,UCIda6ijXAcziDMH1saI-3dg,음악/댄스
waveya 2011,UCmR-oFhgGGe-dCRiDg2ysLw,엔터테인먼트
Jason Mraz,UC8ey1FYCmgHPa9f5KxWb0mw,음악/댄스
Natashas Kitchen,UC-pC1xsFPzcrL09DaW4jlBA,교육/강의
백현 Baekhyun,UCUyr5000laFgF79tWJB3rXQ,인물/유명인
Allblanc TV,UCq7bR6RxqqOx8cptc1-0AVQ,스포츠/헬스
WayV,UC-ZHt5Zgadfx-B1CM63Lqew,인물/유명인
진영민yeongmin,UCychocGDj9_U2SydLizlfug,라이프스타일
MariAndFriends,UCIAH4FXl2DQ4HmLupsyFiug,키즈
Milana FamilyShow[EN],UCAAyQrLDrcK0h1Ll3g8lURw,키즈
TheCranberriesTV,UCb0vzLwvr7xbJgdqMzejDhw,인물/유명인
꼬마버스 타요,UCxUZwdsqshu2iLQwdEE6e7Q,키즈
지무비 : G Movie,UCaHGOzOyeYzLQeKsVkfLEGA,영화/애니메이션
English Speaking Success,UCiVm8XcbwS8-pcDEa5lFXIA,교육/강의
흥삼이네 Heungsam's Family,UC5XuQ-xiWAB6f-qu6gJMDBQ,푸드/쿠킹
Boram y Juguetes,UCpXZCwwJ-4WGIXTxZBAZSKw,키즈
장삐쭈,UChbE5OZQ6dRHECsX0tEPEZQ,엔터테인먼트
대생 Daesaeng,UChE5nZAIhWS5vYTRjsUgRpQ,엔터테인먼트
총몇명,UCRuSxVu4iqTK5kCh90ntAgA,영화/애니메이션
EBS 키즈,UCx_dzPI6efSohgtOkAG43-A,키즈
JAY PARK,UCK5fO9Q2gitao0M5yQvPnvw,음악/댄스
The Office,UCa90xqK2odw1KV5wHU9WRhg,엔터테인먼트
슈카월드,UCsJ6RuBiTVWRX156FVbeaGg,경제/금융/재테크
티디키즈 (인기 동요・동화),UCqvhycZ4nzxTHU4RxHjYgWQ,키즈
The Economist,UC0p5jTq6Xx_DosDFxVXnWaQ,IT/기술/과학
하이틴에이저 Hi-teenager,UCtCgJ6RAwOHQK15FitaLgoQ,엔터테인먼트
Lime Doodles,UCNBg4Cf6kf8bccKgYiYTbsA,키즈
SBS Catch,UC3re3ueOE_6VZK85zlEUWFA,엔터테인먼트
애정 Aejeong,UCJDDUcBtJYT1yRX9pR4Q0ug,푸드/쿠킹
쏴비TV,UCowAQOLSsXRHBHsUdvzIbJw,게임
odg,UCpjm6R2yqu1GZjYtsIiXR5w,키즈
AKMU,UCIcXK1CI8URMIqNO_1cehiQ,인물/유명인
TVCHOSUN - TV조선,UCuw1hxBo5mDVUhgMzRDk3aw,엔터테인먼트
